,id,type,name,iso_country,latitude_deg,longitude_deg,elevation_ft,gps_code
55699,5848,medium_airport,Presidente Peron Airport,AR,-38.949001,-68.155701,895.0,SAZN
55700,5849,medium_airport,Necochea Airport,AR,-38.490746,-58.816337,72.0,SAZO
55701,5850,medium_airport,Comodoro Pedro Zanni Airport,AR,-35.8446,-61.8576,278.0,SAZP
55702,30339,small_airport,Rio Colorado Airport,AR,-38.995,-64.1408,275.0,SAZQ
55703,5851,medium_airport,Santa Rosa Airport,AR,-36.588299,-64.275703,630.0,SAZR
55704,5852,medium_airport,San Carlos De Bariloche Airport,AR,-41.151199,-71.157501,2774.0,SAZS
55705,5853,medium_airport,Héroes De Malvinas Airport,AR,-37.234634,-59.228647,574.0,SAZT
55706,39081,small_airport,Puelches Airport,AR,-38.145103,-65.922943,180.0,SAZU
55707,5854,medium_airport,Villa Gesell Airport,AR,-37.2354,-57.0292,32.0,SAZV
55708,5855,medium_airport,Cutral-Co Airport,AR,-38.939701,-69.264603,2132.0,SAZW
55709,30202,small_airport,Nueve de Julio Airport,AR,-35.3997,-60.9358,246.0,SAZX
55710,5856,medium_airport,Aviador C. Campos Airport,AR,-40.075401,-71.137299,2569.0,SAZY
56103,342657,small_airport,Lago Viedma Airstrip,AR,-49.410757,-72.780266,903.0,
